Fecha,URL,Equipo_Local,Equipo_Visitante,Resultado,Publicidad_Local,Publicidad_Visitante,checkbox_label_label_Local,checkbox_label_label_Visitante,Posesión_Local,Posesión_Visitante,Remates_totales_Local,Remates_totales_Visitante,Remates_a_puerta_Local,Remates_a_puerta_Visitante,Córneres_Local,Córneres_Visitante,Tarjetas_amarillas_Local,Tarjetas_amarillas_Visitante,Remates_fuera_Local,Remates_fuera_Visitante,Saques_de_banda_Local,Saques_de_banda_Visitante,Goles_esperados_(xG)_Local,Goles_esperados_(xG)_Visitante,Grandes_ocasiones_Local,Grandes_ocasiones_Visitante,Pases_Local,Pases_Visitante,xG_a_puerta_(xGOT)_Local,xG_a_puerta_(xGOT)_Visitante,Remates_rechazados_Local,Remates_rechazados_Visitante,Remates_dentro_del_área_Local,Remates_dentro_del_área_Visitante,Remates_fuera_del_área_Local,Remates_fuera_del_área_Visitante,Al_palo_Local,Al_palo_Visitante,Toques_en_el_área_rival_Local,Toques_en_el_área_rival_Visitante,Fueras_de_juego_Local,Fueras_de_juego_Visitante,Tiros_libres_Local,Tiros_libres_Visitante,Pases_largos_Local,Pases_largos_Visitante,Pases_en_el_tercio_final_Local,Pases_en_el_tercio_final_Visitante,Centros_Local,Centros_Visitante,Asistencias_esperadas_(xA)_Local,Asistencias_esperadas_(xA)_Visitante,Faltas_Local,Faltas_Visitante,Entradas_Local,Entradas_Visitante,Duelos_ganados_Local,Duelos_ganados_Visitante,Despejes_Local,Despejes_Visitante,Intercepciones_Local,Intercepciones_Visitante,Errores_conducentes_a_remate_Local,Errores_conducentes_a_remate_Visitante,Errores_conducentes_a_gol_Local,Errores_conducentes_a_gol_Visitante,Paradas_Local,Paradas_Visitante,xGOT_enfrentados_Local,xGOT_enfrentados_Visitante,Goles_evitados_Local,Goles_evitados_Visitante,Sustitución_-_Entra_Local,Sustitución_-_Entra_Visitante,0_-_1Gol_Local,0_-_1Gol_Visitante,Gol1_-_1_Local,Gol1_-_1_Visitante,Gol2_-_1_Local,Gol2_-_1_Visitante,Gol3_-_1_Local,Gol3_-_1_Visitante,Tarjetas_rojas_Local,Tarjetas_rojas_Visitante,Goles_de_cabeza_Local,Goles_de_cabeza_Visitante,1X2_Local,1X2_Visitante,1X2------------------_Local,1X2------------------_Visitante,2_-_2Penal_Local,2_-_2Penal_Visitante,2_-_3Penal_Local,2_-_3Penal_Visitante,0_-_1Penal_Local,0_-_1Penal_Visitante,Penal_fallado_Local,Penal_fallado_Visitante,Penal2_-_1_Local,Penal2_-_1_Visitante,Penal2_-_0_Local,Penal2_-_0_Visitante,3_-_1Penal_Local,3_-_1Penal_Visitante,87%(461/529)Pases89%(468/527)_Local,87%(461/529)Pases89%(468/527)_Visitante,10Faltas17_Local,10Faltas17_Visitante,90%(634/706)Pases90%(420/469)_Local,90%(634/706)Pases90%(420/469)_Visitante,13Faltas3_Local,13Faltas3_Visitante,83%(369/446)Pases85%(407/479)_Local,83%(369/446)Pases85%(407/479)_Visitante,11Faltas18_Local,11Faltas18_Visitante,76%(298/392)Pases78%(302/386)_Local,76%(298/392)Pases78%(302/386)_Visitante,13Faltas22_Local,13Faltas22_Visitante
29.05.2026 13:30,https://www.flashscore.es/partido/futbol/bosnia-herzegovina-fqe7WYTr/macedonia-del-norte-GrTQ3oHB/resumen/estadisticas/general/?mid=4lrOQdEN,Bosnia-Herzegovina,Macedonia del Norte,0-0Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.05.2026 11:00,https://www.flashscore.es/partido/futbol/andorra-dnO5z404/irak-K8aAGt6r/resumen/estadisticas/general/?mid=r9x4VPN8,Irak,Andorra,1-0Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,66%,34%,7.0,5.0,3.0,3.0,3.0,2.0,0.0,3.0,4.0,2.0,17.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.05.2026 11:00,https://www.flashscore.es/partido/futbol/nicaragua-6L9QjkfT/sudafrica-W2ijYvlr/resumen/estadisticas/general/?mid=2NxSErMc,Sudáfrica,Nicaragua,0-0Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,85%,15%,22.0,3.0,6.0,0.0,6.0,1.0,0.0,2.0,10.0,3.0,16.0,12.0,2.18,0.07,2.0,0.0,92%(616/668),56%(65/116),0.48,0.0,6.0,0.0,11.0,1.0,11.0,2.0,1.0,0.0,26.0,1.0,0.0,0.0,10.0,8.0,82%(31/38),21%(9/42),86%(275/319),29%(6/21),21%(5/24),50%(1/2),1.48,0.04,8.0,10.0,75%(9/12),43%(6/14),37.0,29.0,4.0,45.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.48,0.0,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.05.2026 10:30,https://www.flashscore.es/partido/futbol/gambia-hADVg0uE/iran-xrRx85iA/resumen/estadisticas/general/?mid=EuFDrj8L,Irán,Gambia,3-1Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87',Taremi M.,42',(Colley E.),47',(Mohebi M.),59',(Alipour A.),68',(Alipour A.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2026 17:00,https://www.flashscore.es/partido/futbol/colombia-4rSn3qo2/costa-rica-lKkY6nIp/resumen/estadisticas/general/?mid=AcP6sAX1,Colombia Sub-20,Costa Rica Sub-20,2-1Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,57%,43%,10.0,4.0,8.0,3.0,10.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2026 13:45,https://www.flashscore.es/partido/futbol/catar-zqzHL77i/irlanda-Gfyqk1aG/resumen/estadisticas/general/?mid=GfnVQqCE,Irlanda,Catar,1-0Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,52%,48%,11.0,8.0,3.0,1.0,7.0,3.0,,,5.0,6.0,20.0,16.0,1.9,0.4,1.0,0.0,87%(392/449),88%(358/408),1.22,0.42,3.0,1.0,8.0,5.0,3.0,3.0,0.0,0.0,22.0,13.0,1.0,3.0,16.0,9.0,60%(32/53),64%(36/56),66%(75/114),79%(60/76),38%(5/13),25%(3/12),1.35,0.42,9.0,16.0,60%(6/10),53%(9/17),47.0,41.0,16.0,27.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,0.42,1.22,0.42,0.22,,,,,,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2026 13:00,https://www.flashscore.es/partido/futbol/egipto-bejDn7NN/rusia-hrgrswHh/resumen/estadisticas/general/?mid=lILzY6G6,Egipto,Rusia,1-0Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,54%,46%,11.0,8.0,4.0,1.0,5.0,6.0,1.0,2.0,6.0,4.0,19.0,18.0,1.12,0.52,3.0,2.0,86%(402/467),85%(334/393),0.9,0.1,1.0,3.0,7.0,5.0,4.0,3.0,0.0,0.0,17.0,15.0,2.0,2.0,19.0,13.0,50%(24/48),59%(29/49),71%(69/97),66%(59/90),27%(4/15),23%(3/13),1.09,0.39,13.0,19.0,80%(8/10),75%(12/16),40.0,36.0,23.0,18.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,3.0,0.1,0.9,0.1,-0.1,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2026 04:30,https://www.flashscore.es/partido/futbol/grecia-bX1fdQ9b/inglaterra-8CwpNa1m/resumen/estadisticas/general/?mid=25LB0vro,Grecia Sub-19,Inglaterra Sub-18,1-2Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CuotasPublicidad,Cuotas prepartido1X2------------------Los juegos y apuestas deportivas a distancia realizados en exceso pueden causar ludopatía +18Publicidad,Cuotas prepartido,Los juegos y apuestas deportivas a distancia realizados en exceso pueden causar ludopatía +18Publicidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2026 04:00,https://www.flashscore.es/partido/futbol/eslovenia-dWyLKnWj/macedonia-del-norte-hhKXAN8A/resumen/estadisticas/general/?mid=Wxmd7EoQ,Macedonia del Norte Sub-19,Eslovenia Sub-18,0-4Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CuotasPublicidad,Cuotas prepartido1X2------------------Los juegos y apuestas deportivas a distancia realizados en exceso pueden causar ludopatía +18Publicidad,Cuotas prepartido,Los juegos y apuestas deportivas a distancia realizados en exceso pueden causar ludopatía +18Publicidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2026 13:30,https://www.flashscore.es/partido/futbol/india-A1UUGpep/jamaica-CWmDb3zj/resumen/estadisticas/general/?mid=zuJJcjQk,Jamaica,India,2-0Finalizado,BundesligaLaLiga EA SportsLigue 1Premier LeagueSerie ALiga 1Liga 2Copa PerúChampions LeagueEuropa League,Campeonato del MundoCopa AméricaCopa LibertadoresCopa Sudamericana,checkbox label label,checkbox label label,44%,56%,10.0,6.0,5.0,0.0,6.0,2.0,1.0,2.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
