Fecha,Local,Visitante,Goles_Real,Res_Real,Res_Predicho,Prob_Pred,Acierto_1X2,Marcador_Pred,Acierto_Marcador,xG_Total,Over25_Pred_xG,Over25_Real,Acierto_Over25,BTTS_Pred,BTTS_Real,Acierto_BTTS,DO_1X_Prob,Acierto_DO_1X,DO_X2_Prob,Acierto_DO_X2,Cor_Pred_O75,Cor_Pred_O85,Fal_Pred_O18,Tendencia_L,Tendencia_V
2026-06-11,México,Sudáfrica,2-0,1,1,52.9,True,1-0,False,2.43,False,False,True,True,False,False,81.3,True,47.1,False,True,True,True,bajada,bajada
2026-06-12,Corea del Sur,República Checa,2-1,1,X,40.0,False,2-1,True,2.68,True,True,True,True,True,True,74.7,True,65.3,False,True,True,True,bajada,bajada
2026-06-12,Canadá,Bosnia-Herzegovina,1-1,X,1,38.4,False,1-0,False,2.47,False,False,True,True,True,True,73.1,True,61.5,True,True,True,True,estable,bajada
2026-06-13,EE. UU.,Paraguay,4-1,1,1,41.4,True,1-0,False,2.48,False,True,False,True,True,True,75.3,True,58.6,False,True,True,True,bajada,estable
2026-06-13,Catar,Suiza,1-1,X,2,53.8,False,1-2,False,3.04,True,False,False,True,True,True,46.2,True,81.8,True,True,True,True,estable,bajada
2026-06-13,Brasil,Marruecos,1-1,X,1,46.6,False,2-1,False,2.65,True,False,False,True,True,True,78.9,True,53.3,True,True,True,True,estable,bajada
2026-06-14,Haití,Escocia,0-1,2,2,52.5,True,0-2,False,2.86,True,False,False,True,False,False,47.5,False,81.4,True,True,True,True,estable,bajada
2026-06-14,Australia,Turquía,2-0,1,X,38.7,False,1-2,False,2.72,True,False,False,True,False,False,65.9,True,72.8,False,True,True,True,subida,estable
2026-06-14,Países Bajos,Japón,2-2,X,1,43.4,False,1-0,False,2.59,True,True,True,True,True,True,75.0,True,56.6,True,True,True,True,bajada,bajada
2026-06-14,Costa de Marfil,Ecuador,1-0,1,1,40.7,True,1-0,True,2.45,False,False,True,True,False,False,78.3,True,59.3,False,True,True,True,estable,bajada
2026-06-15,Suecia,Túnez,5-1,1,X,39.9,False,1-0,False,2.58,True,True,True,True,True,True,72.0,True,67.9,False,True,True,True,estable,bajada
2026-06-15,Bélgica,Egipto,1-1,X,1,66.7,False,2-0,False,2.7,True,False,False,True,True,True,87.5,True,33.2,True,True,True,True,estable,bajada
2026-06-15,Arabia Saudí,Uruguay,1-1,X,2,70.6,False,0-2,False,2.62,True,False,False,False,True,False,29.3,True,91.0,True,True,True,True,bajada,subida
2026-06-16,Irán,Nueva Zelanda,2-2,X,1,57.0,False,2-0,False,2.85,True,True,True,True,True,True,85.8,True,43.0,True,True,True,True,bajada,estable
2026-06-16,Francia,Senegal,3-1,1,1,51.1,True,2-1,False,2.62,True,True,True,True,True,True,79.8,True,48.9,False,True,True,True,estable,estable
2026-06-16,Irak,Noruega,1-4,2,2,50.4,True,0-2,False,2.75,True,True,True,True,True,True,49.5,False,80.8,True,True,True,True,subida,bajada
2026-06-17,Argentina,Argelia,3-0,1,1,48.8,True,1-0,False,2.53,True,True,True,True,False,False,78.8,True,51.2,False,True,True,True,estable,bajada
2026-06-17,Austria,Jordania,3-1,1,1,73.2,True,2-0,False,2.84,True,True,True,True,True,True,92.3,True,26.8,False,True,True,True,bajada,bajada
