Grupo,Equipo,Pts,GF,GC,DG,Posicion
A,México,7,4.53,3.2,1.33,1
A,Corea del Sur,7,3.91,3.54,0.37,2
A,República Checa,3,3.6,4.37,-0.77,3
A,Sudáfrica,0,3.13,4.06,-0.93000007,4
B,Suiza,9,5.49,3.43,2.06,1
B,Canadá,6,3.9,3.85,0.049999952,2
B,Bosnia-Herzegovina,3,3.75,4.25,-0.49999988,3
B,Catar,0,3.1799998,4.79,-1.61,4
C,Brasil,9,6.21,2.51,3.7000003,1
C,Marruecos,6,4.83,3.28,1.55,2
C,Escocia,3,3.96,4.68,-0.7199999,3
C,Haití,0,2.04,6.57,-4.53,4
D,Turquía,7,4.6400003,3.37,1.2700001,1
D,EE. UU.,7,4.1800003,3.35,0.83000004,2
D,Australia,3,3.37,3.96,-0.59000003,3
D,Paraguay,0,2.9099998,4.42,-1.5100001,4
E,Alemania,9,6.06,2.46,3.6000001,1
E,Costa de Marfil,6,4.56,3.29,1.27,2
E,Ecuador,3,3.47,4.33,-0.8600001,3
E,Curazao,0,2.13,6.1400003,-4.01,4
F,Países Bajos,9,5.24,3.31,1.93,1
F,Japón,6,3.8400002,3.71,0.13,2
F,Suecia,3,3.8000002,4.6800003,-0.88,3
F,Túnez,0,3.21,4.39,-1.18,4
G,Bélgica,9,6.73,2.41,4.3199997,1
G,Irán,6,4.36,3.65,0.7099999,2
G,Egipto,3,3.29,4.2799997,-0.98999995,3
G,Nueva Zelanda,0,2.48,6.52,-4.04,4
H,España,9,6.27,2.33,3.94,1
H,Uruguay,6,4.47,3.3899999,1.08,2
H,Cabo Verde,3,2.97,4.59,-1.6199999,3
H,Arabia Saudí,0,2.25,5.65,-3.4000003,4
I,Francia,9,6.4700003,2.48,3.9900002,1
I,Senegal,6,4.77,3.38,1.39,2
I,Noruega,3,3.86,4.94,-1.0800002,3
I,Irak,0,2.13,6.4300003,-4.3,4
J,Argentina,9,5.85,2.6799998,3.1699998,1
J,Austria,6,4.6800003,3.56,1.1200001,2
J,Argelia,3,4.15,3.6299999,0.52,3
J,Jordania,0,1.9399999,6.75,-4.81,4
K,Portugal,9,6.16,2.62,3.54,1
K,Colombia,6,4.64,3.68,0.95999986,2
K,RD Congo,3,3.03,4.49,-1.46,3
K,Uzbekistán,0,2.62,5.66,-3.04,4
L,Inglaterra,7,6.25,2.66,3.59,1
L,Croacia,7,5.2799997,3.22,2.06,2
L,Panamá,3,2.62,5.56,-2.94,3
L,Ghana,0,2.73,5.44,-2.7099998,4
