Fecha,Local,Visitante,Prob_1,Prob_X,Prob_2,Cuota_Pinnacle_1,Cuota_Pinnacle_X,Cuota_Pinnacle_2,EV_1,EV_X,EV_2,Mejor_resultado,Mejor_EV,EV_Etiqueta,EV_Categoria,CLV_1,Tiene_Pinnacle
2026-06-11,México,Sudáfrica,53.9,27.0,19.1,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-11,Corea del Sur,República Checa,39.6,31.6,28.8,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-12,Canadá,Bosnia-Herzegovina,41.7,29.2,29.1,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-12,EE. UU.,Paraguay,42.8,31.7,25.5,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-13,Catar,Suiza,18.7,26.3,55.1,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-13,Australia,Turquía,31.8,28.3,39.9,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-13,Brasil,Marruecos,48.8,29.2,22.0,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-13,Haití,Escocia,18.9,27.5,53.5,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-14,Suecia,Túnez,37.3,30.1,32.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-14,Países Bajos,Japón,45.0,29.1,25.9,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-14,Costa de Marfil,Ecuador,44.0,32.5,23.5,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-14,Alemania,Curazao,76.9,16.2,6.8,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-15,Arabia Saudí,Uruguay,8.9,20.4,70.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-15,España,Cabo Verde,67.2,19.2,13.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-15,Irán,Nueva Zelanda,58.2,27.3,14.5,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-15,Bélgica,Egipto,66.7,20.8,12.4,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-16,Irak,Noruega,19.1,30.4,50.4,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-16,Austria,Jordania,73.2,19.1,7.7,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-16,Francia,Senegal,51.1,28.7,20.2,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-16,Argentina,Argelia,48.8,30.0,21.2,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-17,Portugal,RD Congo,50.9,33.7,15.3,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-17,Uzbekistán,Colombia,17.7,25.7,56.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-17,Inglaterra,Croacia,38.2,37.1,24.7,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-17,Ghana,Panamá,28.6,31.5,39.8,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-18,Canadá,Catar,50.1,27.3,22.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-18,República Checa,Sudáfrica,36.3,31.9,31.8,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-18,México,Corea del Sur,44.2,30.5,25.3,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-18,Suiza,Bosnia-Herzegovina,42.6,30.8,26.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-19,EE. UU.,Australia,32.5,35.0,32.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-19,Escocia,Marruecos,20.2,30.0,49.8,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-19,Turquía,Paraguay,50.4,26.5,23.0,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-19,Brasil,Haití,73.7,16.8,9.5,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-20,Ecuador,Curazao,49.0,31.6,19.4,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-20,Alemania,Costa de Marfil,51.8,29.4,18.8,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-20,Países Bajos,Suecia,57.2,23.8,19.0,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-20,Túnez,Japón,22.0,32.4,45.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-21,Bélgica,Irán,56.0,25.4,18.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-21,Nueva Zelanda,Egipto,19.8,29.9,50.3,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-21,España,Arabia Saudí,80.5,12.9,6.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-21,Uruguay,Cabo Verde,46.0,31.0,23.0,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-22,Noruega,Senegal,24.2,31.1,44.7,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-22,Francia,Irak,75.5,18.5,6.1,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-22,Argentina,Austria,42.6,32.7,24.7,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-22,Jordania,Argelia,13.2,22.9,63.9,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-23,Colombia,RD Congo,43.5,35.1,21.4,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-23,Panamá,Croacia,13.3,26.1,60.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-23,Inglaterra,Ghana,69.7,19.7,10.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-23,Portugal,Uzbekistán,57.3,29.6,13.2,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-24,Suiza,Canadá,36.4,33.7,29.9,2.5,3.09,3.36,-0.09,0.0413,0.0046,X,0.0413,⚠️ VALUE LEVE,leve,-3.6,True
2026-06-24,Marruecos,Haití,65.3,23.7,11.0,1.19,7.75,17.75,-0.2229,0.8367,0.9525,2,0.9525,🔥 ALTO VALUE,alto,-18.7,True
2026-06-24,Bosnia-Herzegovina,Catar,37.9,31.5,30.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-24,Escocia,Brasil,13.1,25.0,61.9,10.0,5.85,1.33,0.31,0.4625,-0.1767,X,0.4625,🔥 ALTO VALUE,alto,3.1,True
2026-06-24,Sudáfrica,Corea del Sur,22.9,31.8,45.3,6.13,4.08,1.62,0.4038,0.2974,-0.2661,1,0.4038,🔥 ALTO VALUE,alto,6.6,True
2026-06-24,República Checa,México,21.2,29.3,49.6,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-25,Japón,Suecia,42.5,32.5,25.0,1.88,3.54,4.54,-0.201,0.1505,0.135,X,0.1505,🔥 ALTO VALUE,alto,-10.7,True
2026-06-25,Túnez,Países Bajos,13.3,22.8,63.9,21.7,10.55,1.1,1.8861,1.4054,-0.2971,1,1.8861,🔥 ALTO VALUE,alto,8.7,True
2026-06-25,Turquía,EE. UU.,40.7,29.0,30.3,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-25,Paraguay,Australia,23.8,35.4,40.9,2.89,2.24,3.81,-0.3122,-0.207,0.5583,2,0.5583,🔥 ALTO VALUE,alto,-10.8,True
2026-06-25,Ecuador,Alemania,13.3,27.5,59.3,3.76,4.27,1.87,-0.4999,0.1743,0.1089,X,0.1743,🔥 ALTO VALUE,alto,-13.3,True
2026-06-25,Curazao,Costa de Marfil,12.7,28.0,59.3,0.0,0.0,0.0,,,,—,,—,sin_datos,,False
2026-06-26,Senegal,Irak,59.4,27.7,12.9,1.22,6.82,12.46,-0.2753,0.8891,0.6073,X,0.8891,🔥 ALTO VALUE,alto,-22.6,True
2026-06-26,Noruega,Francia,13.0,22.9,64.1,4.79,4.36,1.65,-0.3773,-0.0016,0.0576,2,0.0576,⚠️ VALUE LEVE,leve,-7.9,True
2026-06-26,Egipto,Irán,24.3,33.5,42.2,2.49,2.58,3.83,-0.3949,-0.1357,0.6163,2,0.6163,🔥 ALTO VALUE,alto,-15.9,True
2026-06-26,Uruguay,España,14.8,30.1,55.1,7.35,4.13,1.5,0.0878,0.2431,-0.1735,X,0.2431,🔥 ALTO VALUE,alto,1.2,True
2026-06-26,Cabo Verde,Arabia Saudí,48.5,25.4,26.1,2.51,3.42,2.88,0.2173,-0.1313,-0.2483,1,0.2173,🔥 ALTO VALUE,alto,8.7,True
2026-06-26,Nueva Zelanda,Bélgica,8.6,15.0,76.4,14.73,7.45,1.18,0.2668,0.1175,-0.0985,1,0.2668,🔥 ALTO VALUE,alto,1.8,True
2026-06-27,Panamá,Inglaterra,11.1,24.7,64.2,15.48,8.18,1.16,0.7183,1.0205,-0.2553,X,1.0205,🔥 ALTO VALUE,alto,4.6,True
2026-06-27,Colombia,Portugal,21.6,30.5,47.9,3.99,3.79,1.9,-0.1382,0.156,-0.0899,X,0.156,🔥 ALTO VALUE,alto,-3.5,True
2026-06-27,RD Congo,Uzbekistán,45.3,28.2,26.4,1.78,4.23,4.1,-0.1937,0.1929,0.0824,X,0.1929,🔥 ALTO VALUE,alto,-10.9,True
2026-06-27,Argelia,Austria,26.9,33.9,39.2,4.0,2.14,2.85,0.076,-0.2745,0.1172,2,0.1172,✅ VALUE,medio,1.9,True
2026-06-27,Jordania,Argentina,5.9,11.1,83.0,13.74,7.4,1.19,-0.1893,-0.1786,-0.0123,2,-0.0123,❌ SIN VALUE,negativo,-1.4,True
2026-06-27,Croacia,Ghana,62.4,24.0,13.6,1.77,3.25,5.87,0.1045,-0.22,-0.2017,1,0.1045,✅ VALUE,medio,5.9,True
