Fecha,Grupo,Local,Visitante,Marcador_Predicho,Resultado_1X2,xG_L,xG_V,Prob_1,Prob_X,Prob_2,Prob_1_Orig,Prob_X_Orig,Prob_2_Orig,Fuente,tiros_esp,tiros_m45,tiros_m55,tiros_m65,faltas_esp,faltas_m18,faltas_m20,faltas_m22,Prob_1_Final,Prob_X_Final,Prob_2_Final,DC_Prob_1,DC_Prob_X,DC_Prob_2,VM_Local,VM_Visitante,Fuente_Final,Prob_1_Forma,Prob_X_Forma,Prob_2_Forma,Factor_Forma,Tendencia_Local,Tendencia_Visitante,Racha_Local,Racha_Visitante,Prob_1_PreCal,Prob_X_PreCal,Prob_2_PreCal,Boost_Empate,Tasa_Emp_Local,Tasa_Emp_Visit,Modo_Calibracion
2026-06-11,A,México,Sudáfrica,1-0,1,1.46,0.97,47.0,34.3,18.7,47.0,34.3,18.7,solo_modelo,9.5,96,91,84,25.5,92,84,72,52.9,28.4,18.7,46.9,29.7,23.5,300.0,70.0,modelo+dixon-coles,53.9,27.0,19.1,0.15,bajada,bajada,15,1,53.9,27.0,19.1,1.4,25.0,27.6,calibracion_completa
2026-06-11,A,Corea del Sur,República Checa,2-1,1,1.49,1.19,40.6,31.6,27.8,40.6,31.6,27.8,solo_modelo,5.6,65,48,32,20.5,66,48,32,34.7,40.0,25.3,42.5,28.8,28.7,170.0,130.0,modelo+dixon-coles,39.6,31.6,28.8,-0.044,bajada,bajada,0,3,39.6,31.6,28.8,8.4,29.3,31.0,calibracion_completa
2026-06-12,B,Canadá,Bosnia-Herzegovina,1-0,1,1.31,1.16,39.9,30.9,29.2,39.9,30.9,29.2,solo_modelo,9.6,96,91,84,27.5,96,91,83,38.4,34.7,26.8,38.4,30.4,31.2,200.0,80.0,modelo+dixon-coles,41.7,29.2,29.1,0.062,estable,bajada,8,6,41.7,29.2,29.1,5.5,31.4,31.0,calibracion_completa
2026-06-12,D,EE. UU.,Paraguay,1-0,1,1.58,0.9,43.3,29.4,27.4,43.3,29.4,27.4,solo_modelo,10.0,97,93,87,26.0,94,86,75,41.4,33.9,24.7,51.8,28.3,19.9,480.0,90.0,modelo+dixon-coles,42.8,31.7,25.5,-0.068,bajada,estable,0,0,42.8,31.7,25.5,2.2,21.2,20.8,calibracion_completa
2026-06-13,B,Catar,Suiza,1-2,2,1.04,2.0,18.4,27.4,54.2,18.4,27.4,54.2,solo_modelo,2.0,5,2,0,24.0,87,76,61,18.2,28.0,53.8,17.8,23.9,58.3,60.0,250.0,modelo+dixon-coles,18.7,26.3,55.1,0.026,estable,bajada,0,1,18.7,26.3,55.1,3.4,12.9,34.0,calibracion_parcial
2026-06-13,D,Australia,Turquía,1-2,2,1.12,1.6,32.3,29.7,38.0,32.3,29.7,38.0,solo_modelo,7.1,84,71,57,22.9,82,68,52,27.2,38.7,34.1,25.1,27.9,47.0,155.0,145.0,modelo+dixon-coles,31.8,28.3,39.9,0.08,subida,estable,9,6,31.8,28.3,39.9,10.4,24.4,19.6,calibracion_completa
2026-06-13,C,Brasil,Marruecos,2-1,1,1.59,1.06,48.5,30.7,20.8,48.5,30.7,20.8,solo_modelo,11.0,98,96,92,20.0,62,44,28,46.6,32.3,21.0,48.1,28.1,23.8,950.0,180.0,modelo+dixon-coles,48.8,29.2,22.0,0.026,estable,bajada,1,2,48.8,29.2,22.0,3.1,27.6,15.8,calibracion_completa
2026-06-13,C,Haití,Escocia,0-2,2,0.92,1.94,19.6,29.0,51.4,19.6,29.0,51.4,solo_modelo,7.6,87,76,63,20.5,66,48,32,18.6,28.9,52.5,15.9,24.2,59.9,25.0,110.0,modelo+dixon-coles,18.9,27.5,53.5,0.046,estable,bajada,1,0,18.9,27.5,53.5,1.4,33.3,18.2,calibracion_completa
2026-06-14,F,Suecia,Túnez,1-0,1,1.34,1.24,35.6,31.3,33.1,35.6,31.3,33.1,solo_modelo,5.6,65,48,32,25.5,92,84,71,32.1,39.9,28.0,37.5,29.7,32.8,280.0,80.0,modelo+dixon-coles,37.3,30.1,32.6,0.026,estable,bajada,3,4,37.3,30.1,32.6,9.8,15.8,25.0,calibracion_completa
2026-06-14,F,Países Bajos,Japón,1-0,1,1.51,1.08,38.1,33.6,28.3,38.1,33.6,28.3,solo_modelo,3.0,18,8,3,19.0,53,35,21,43.4,31.6,25.0,45.6,28.9,25.5,750.0,270.0,modelo+dixon-coles,45.0,29.1,25.9,0.096,bajada,bajada,14,3,45.0,29.1,25.9,2.5,27.3,10.0,calibracion_completa
