,R32,Octavos,Cuartos,Semis,Final,Campeon
Francia,95.7,83.05,53.2,47.52,33.4,19.57
Inglaterra,94.3,76.78,48.9,36.34,22.77,11.45
Alemania,95.7,73.04,36.9,29.76,19.63,11.37
España,94.5,66.11,41.2,32.64,19.8,10.52
Bélgica,94.1,72.14,53.8,32.55,19.16,10.08
Argentina,95.2,65.56,39.8,30.48,17.71,7.65
Portugal,92.2,56.52,39.8,20.79,11.16,4.88
Países Bajos,88.3,62.59,36.0,19.55,9.31,3.89
Brasil,94.5,64.13,32.8,18.97,9.66,3.89
Austria,89.6,44.9,23.8,11.7,5.2,1.87
Senegal,81.7,45.8,23.3,12.2,5.1,1.78
México,83.8,58.3,23.9,11.76,5.46,1.76
Irán,81.1,51.3,26.1,12.6,5.1,1.51
Croacia,89.2,28.6,30.9,8.1,3.7,1.47
Costa de Marfil,84.0,41.0,18.7,8.4,3.5,1.16
Uruguay,86.3,37.9,19.0,8.8,3.6,1.16
Colombia,83.6,45.54,19.6,9.2,3.22,0.92
Japón,78.5,38.7,20.7,7.7,3.0,0.89
Suiza,86.1,46.9,20.7,7.8,2.9,0.8
Marruecos,86.1,37.1,17.6,5.9,2.1,0.62
Noruega,65.5,28.6,11.0,4.3,1.5,0.44
Corea del Sur,75.2,41.8,15.1,4.7,1.7,0.44
Canadá,76.9,37.4,13.3,4.6,1.38,0.41
Argelia,76.7,27.4,10.5,3.9,1.1,0.36
EE. UU.,75.0,34.43,9.8,3.36,0.91,0.25
Australia,70.7,28.6,8.9,2.8,0.9,0.18
Suecia,55.0,20.8,8.4,2.5,0.7,0.18
República Checa,62.6,21.52,10.5,2.47,0.6,0.13
Escocia,64.4,18.3,6.4,1.5,0.4,0.09
Cabo Verde,54.9,17.2,5.7,1.9,0.6,0.09
RD Congo,52.4,17.3,5.7,1.8,0.5,0.09
Ecuador,64.1,10.4,6.8,1.0,0.25,0.04
Bosnia-Herzegovina,63.1,11.1,6.8,0.95,0.2,0.04
Panamá,39.5,6.35,3.7,0.45,0.1,0.04
Túnez,46.7,0.02,6.0,0.0,0.0,0.0
Turquía,77.6,0.04,13.5,0.0,0.0,0.0
Sudáfrica,49.6,10.45,6.6,0.9,0.25,0.0
Egipto,58.7,22.9,6.9,1.9,0.4,0.0
Uzbekistán,35.2,4.8,2.7,0.3,0.05,0.0
Nueva Zelanda,28.7,4.2,2.2,0.3,0.05,0.0
Ghana,34.8,10.45,2.3,0.57,0.11,0.0
Curazao,21.8,2.4,1.2,0.15,0.0,0.0
Irak,20.8,0.0,0.8,0.0,0.0,0.0
Paraguay,49.9,16.1,4.2,1.0,0.2,0.0
Catar,45.2,0.01,2.8,0.0,0.0,0.0
Arabia Saudí,25.3,1.9,0.7,0.05,0.0,0.0
Jordania,12.4,0.0,0.4,0.0,0.0,0.0
Haití,22.7,0.0,0.7,0.0,0.0,0.0
